sex,id,cage,treatment,zt,day,eatdrinkfor,move,rest,flag,graph_zt
M,triangleb4,b4,CORT,22,2,0,0,300,night,4
M,squareb4,b4,CORT,12.5,1,0,0,300,night,18.5
M,squareb4,b4,CORT,13,1,0,0,300,night,19
M,squareb4,b4,CORT,13.5,1,0,0,300,night,19.5
M,squareb4,b4,CORT,14,1,0,0,300,night,20
M,squareb4,b4,CORT,14.5,1,0,0,300,night,20.5
M,squareb4,b4,CORT,15,1,0,0,300,night,21
M,squareb4,b4,CORT,15.5,1,0,0,300,night,21.5
M,squareb4,b4,CORT,16,1,0,0,300,night,0
M,squareb4,b4,CORT,17,1,0,0,300,night,1
M,squareb4,b4,CORT,18.5,1,0,0,300,night,0.5
M,squareb4,b4,CORT,19.5,1,0,0,300,night,1.5
M,squareb4,b4,CORT,20,1,0,0,300,night,2
M,squareb4,b4,CORT,20.5,1,0,0,300,night,2.5
M,squareb4,b4,CORT,21.5,1,0,0,300,night,3.5
M,squareb4,b4,CORT,22.5,1,0,0,300,night,4.5
M,squareb4,b4,CORT,12.5,2,0,0,300,night,18.5
M,squareb4,b4,CORT,13,2,0,0,300,night,19
M,squareb4,b4,CORT,13.5,2,0,0,300,night,19.5
M,squareb4,b4,CORT,14,2,0,0,300,night,20
M,squareb4,b4,CORT,14.5,2,0,0,300,night,20.5
M,squareb4,b4,CORT,15,2,0,0,300,night,21
M,squareb4,b4,CORT,16,2,0,0,300,night,0
M,squareb4,b4,CORT,16.5,2,0,0,300,night,0.5
M,squareb4,b4,CORT,17,2,0,0,300,night,1
M,squareb4,b4,CORT,17.5,2,0,0,300,night,1.5
M,squareb4,b4,CORT,18,2,0,0,300,night,0
M,squareb4,b4,CORT,18.5,2,0,0,300,night,0.5
M,squareb4,b4,CORT,19,2,0,0,300,night,1
M,squareb4,b4,CORT,19.5,2,0,0,300,night,1.5
M,squareb4,b4,CORT,20,2,0,0,300,night,2
M,squareb4,b4,CORT,20.5,2,0,0,300,night,2.5
M,squareb4,b4,CORT,21,2,0,0,300,night,3
M,squareb4,b4,CORT,21.5,2,0,0,300,night,3.5
M,squareb4,b4,CORT,22,2,0,0,300,night,4
M,rectangleb4,b4,CORT,12.5,1,0,0,300,night,18.5
M,rectangleb4,b4,CORT,13,1,0,0,300,night,19
M,rectangleb4,b4,CORT,13.5,1,0,0,300,night,19.5
M,rectangleb4,b4,CORT,14,1,0,0,300,night,20
