condition,age,time,act,bmalnorm,pernorm,bmal,per,stage,bact2,id,other,batch,group
control,e17,9am,21.185,7.065,7.16,0.007468323,0.006992383,prenatal,,,,orig,controle179am
control,e17,9am,21.885,7.92,8.625,0.004128977,0.00253289,prenatal,,,,orig,controle179am
control,e17,9am,20.22,7.255,5.745,0.006546774,0.018645871,prenatal,,,,orig,controle179am
control,e17,9am,19.78,7.8,8.025,0.004487103,0.003839143,prenatal,,,,orig,controle179am
control,e17,9am,20.405,7.505,8.92,0.005505159,0.002064488,prenatal,,,,orig,controle179am
cort,e14,2pm,21.755,6.02,7.58,0.015409886,0.00522628,prenatal,,,,orig,corte142pm
cort,e14,2pm,21.46,6.46,7.595,0.01135916,0.005172222,prenatal,,,,orig,corte142pm
cort,e14,2pm,20.84,6.22,9.88,0.013415085,0.001061265,prenatal,,,,orig,corte142pm
cort,e14,2pm,21.575,6.89,8.43,0.008431471,0.00289946,prenatal,,,,orig,corte142pm
cort,e14,2pm,21.11,6.95,7.79,0.008088007,0.004518313,prenatal,,,,orig,corte142pm
cort,e14,2pm,21.055,7.39,9.035,0.00596195,0.001906312,prenatal,,,,orig,corte142pm
cort,e14,2pm,21.71,5.745,7.355,0.018645871,0.006108357,prenatal,,,,orig,corte142pm
cort,e14,2pm,21.765,7.195,8.965,0.006824788,0.002001088,prenatal,,,,orig,corte142pm
control,e14,2pm,22.64,6.655,6.2,0.009923055,0.013602353,prenatal,,,,orig,controle142pm
control,e14,2pm,20.86,6.57,5.82,0.010525262,0.017701311,prenatal,,,,orig,controle142pm
control,e14,2pm,21.35,6.805,6.005,0.008943158,0.015570942,prenatal,,,,orig,controle142pm
control,e14,2pm,21.01,7.52,7.015,0.005448217,0.007731693,prenatal,,,,orig,controle142pm
control,e14,2pm,20.555,6.74,9.05,0.009355302,0.001886594,prenatal,,,,orig,controle142pm
control,e14,2pm,22.58,6.165,8.185,0.013936383,0.003436129,prenatal,,,,orig,controle142pm
control,e14,2pm,21.12,6.17,9.13,0.013888167,0.001784827,prenatal,,,,orig,controle142pm
cort,pd10,zt10,19.98,6.245,8.535,0.013184622,0.002695932,postnatal,,,,new,cortpd10zt10
cort,pd10,zt10,20.15,7.07,10.315,0.007442484,0.000785011,postnatal,,,,new,cortpd10zt10
cort,pd10,zt10,20.21,7.745,9.095,0.004661468,0.001828657,postnatal,,,,new,cortpd10zt10
cort,pd10,zt10,20.165,7.025,8.03,0.007678286,0.003825861,postnatal,,,,new,cortpd10zt10
cort,pd10,zt10,20.275,7.225,9.45,0.006684336,0.001429771,postnatal,,,,new,cortpd10zt10
cort,pd10,zt10,24.15,6.19,8.925,0.013696964,0.002057346,postnatal,,,,new,cortpd10zt10
cort,pd10,zt10,20.28,6.06,6.615,0.014988502,0.01020203,postnatal,,,,new,cortpd10zt10
cort,pd10,zt10,18.92,5.715,7.64,0.01903766,0.005013382,postnatal,,,,new,cortpd10zt10
control,pd10,zt10,26.35,4.915,4.745,0.033146492,0.037291742,postnatal,,,,new,controlpd10zt10
control,pd10,zt10,24.33,5.42,6.55,0.02335702,0.01067219,postnatal,,,,new,controlpd10zt10
control,pd10,zt10,24.04,5,5.895,0.03125,0.0168046,postnatal,,,,new,controlpd10zt10
control,pd10,zt10,19.15,6.27,7.38,0.012958118,0.006003419,postnatal,,,,new,controlpd10zt10
control,pd10,zt10,20.25,5.905,8.715,0.016688522,0.002379708,postnatal,,,,new,controlpd10zt10
control,pd10,zt10,20.6,6.56,10.07,0.010598471,0.000930311,postnatal,,,,new,controlpd10zt10
control,pd10,zt10,22.61,6.73,9.19,0.009420374,0.001712121,postnatal,,,,new,controlpd10zt10
control,pd10,zt10,24.56,5.705,8.03,0.019170078,0.003825861,postnatal,,,,new,controlpd10zt10
